cinema_code,name,loc
CINEMA1,가산디지털,서울
CINEMA2,가양,서울
CINEMA3,강동,서울
CINEMA4,건대입구,서울
CINEMA5,김포공항,서울
CINEMA6,노원,서울
CINEMA7,도곡,서울
CINEMA8,독산,서울
CINEMA9,브로드웨이(신사),서울
CINEMA10,서울대입구,서울
CINEMA11,수락산,서울
CINEMA12,수유,서울
CINEMA13,신도림,서울
CINEMA14,신림,서울
CINEMA15,에비뉴엘(명동),서울
CINEMA16,영등포,서울
CINEMA17,용산,서울
CINEMA18,월드타워,서울
CINEMA19,은평(롯데몰),서울
CINEMA20,중랑,서울
CINEMA21,청량리,서울
CINEMA22,합정,서울
CINEMA23,홍대입구,서울
CINEMA24,광교아울렛,경기/인천
CINEMA25,광명(광명사거리),경기/인천
CINEMA26,광명아울렛,경기/인천
CINEMA27,광주터미널,경기/인천
CINEMA28,구라아울렛,경기/인천
CINEMA29,동탄,경기/인천
CINEMA30,라페스타,경기/인천
CINEMA31,마석,경기/인천
CINEMA32,별내,경기/인천
CINEMA33,병점,경기/인천
CINEMA34,부천(신중동역),경기/인천
CINEMA35,부천역,경기/인천
CINEMA36,부평,경기/인천
CINEMA37,부평갈산,경기/인천
CINEMA38,부평역사,경기/인천
CINEMA39,북수원(천천동),경기/인천
CINEMA40,산본피트인,경기/인천
CINEMA41,서수인,경기/인천
CINEMA42,성낭중앙(신흥역),경기/인천
CINEMA43,센트럴락,경기/인천
CINEMA44,송탄,경기/인천
CINEMA45,수원(수원역),경기/인천
CINEMA46,수지,경기/인천
CINEMA47,시화,경기/인천
CINEMA48,시흥장현,경기/인천
CINEMA49,안산,경기/인천
CINEMA50,안산고잔,경기/인천
CINEMA51,안성,경기/인천
CINEMA52,안양(안양역),경기/인천
CINEMA53,안양일번가,경기/인천
CINEMA54,양주고읍,경기/인천
CINEMA55,영종하늘도시,경기/인천
CINEMA56,오산(원동),경기/인천
CINEMA57,용안기흥,경기/인천
CINEMA58,용인역북,경기/인천
CINEMA59,위례,경기/인천
CINEMA60,의정부민락,경기/인천
CINEMA61,인덕원,경기/인천
CINEMA62,인천아시아드,경기/인천
CINEMA63,인천터미널,경기/인천
CINEMA64,주엽,경기/인천
CINEMA65,진접,경기/인천
CINEMA66,파주운정,경기/인천
CINEMA67,판교(창조경제밸리),경기/인천
CINEMA68,평촌(범계역),경기/인천
CINEMA69,평택비전(뉴코아),경기/인천
CINEMA70,하남미사,경기/인천
CINEMA71,향남,경기/인천
CINEMA72,당진,충청/대전
CINEMA73,대전(백화점),충청/대전
CINEMA74,대전관저,충청/대전
CINEMA75,대전둔산(월평동),충청/대전
CINEMA76,대전센트럴,충청/대전
CINEMA77,서산,충청/대전
CINEMA78,서청주(아울렛),충청/대전
CINEMA79,아산터미널,충청/대전
CINEMA80,천안불당,충청/대전
CINEMA81,청주용암,충청/대전
CINEMA82,충주(모다아울렛),충청/대전
CINEMA83,광주(백화점),전라/광주
CINEMA84,광주광산,전라/광주
CINEMA85,군산나운,전라/광주
CINEMA86,군산몰,전라/광주
CINEMA87,수완(아울렛),전라/광주
CINEMA88,익산모현,전라/광주
CINEMA89,전주(백화점),전라/광주
CINEMA90,전주송천,전라/광주
CINEMA91,전주평화,전라/광주
CINEMA92,충장로,전라/광주
CINEMA93,경산,경북/대구
CINEMA94,경주,경북/대구
CINEMA95,경주황성,경북/대구
CINEMA96,구미공단,경북/대구
CINEMA97,대구광장,경북/대구
CINEMA98,대구율하,경북/대구
CINEMA99,대구현풍,경북/대구
CINEMA100,동성로,경북/대구
CINEMA101,상인,경북/대구
CINEMA102,상주,경북/대구
CINEMA103,성서,경북/대구
CINEMA104,영주,경북/대구
CINEMA105,영천,경북/대구
CINEMA106,포항,경북/대구
CINEMA107,프리미엄구미센트럴,경북/대구
CINEMA108,프리미엄만경,경북/대구
CINEMA109,프리미엄안동,경북/대구
CINEMA110,프리미엄칠곡,경북/대구
CINEMA111,거창,경남/부산/울산
CINEMA112,광복,경남/부산/울산
CINEMA113,김해부원,경남/부산/울산
CINEMA114,김해아울렛(장유),경남/부산/울산
CINEMA115,대영,경남/부산/울산
CINEMA116,동래,경남/부산/울산
CINEMA117,동부산아울렛,경남/부산/울산
CINEMA118,드라이브 오시리아,경남/부산/울산
CINEMA119,마산(합성동),경남/부산/울산
CINEMA120,부산명지,경남/부산/울산
CINEMA121,부산본점,경남/부산/울산
CINEMA122,사천,경남/부산/울산
CINEMA123,서면(전포동),경남/부산/울산
CINEMA124,센텀시티,경남/부산/울산
CINEMA125,야산물금,경남/부산/울산
CINEMA126,엠비씨네(진주),경남/부산/울산
CINEMA127,오투(부산대),경남/부산/울산
CINEMA128,울산(백화점),경남/부산/울산
CINEMA129,울산성남,경남/부산/울산
CINEMA130,진주혁신(롯데몰),경남/부산/울산
CINEMA131,진해,경남/부산/울산
CINEMA132,창원,경남/부산/울산
CINEMA133,통영,경남/부산/울산
CINEMA134,프리미엄경남대,경남/부산/울산
CINEMA135,프리미엄진주(중안),경남/부산/울산
CINEMA136,프리미엄해운대(장산역),경남/부산/울산
CINEMA137,동해,강원
CINEMA138,속초,강원
CINEMA139,원주무실,강원
CINEMA140,춘천,강원
CINEMA141,서귀포,제주
CINEMA142,제주삼화지구,제주
CINEMA143,제주아라,제주
